source_repository,source_revision,path,size_bytes,sha256
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_gaussian_deposition.py,1598,9f35947c9bcb362d762a76bc0bdecc5b8cbf648cd93d3bac563a0bb160610e21
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_gr_phi_roundtrip.py,1475,b82571ad4d9e33a2219df6268626c40ea3b6bc61ec43384bb6ad1255475cb117
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_index_schema_migration.py,2684,8026d44d7446bcbcd0bbf5b87486a564bedb80c09f87bb4cb8d1177f16b51804
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_io_cif.py,1115,6e812d900f506819e1dda2749ac64fb2d54d2bd1da79afe592e50f0fb5ceac84
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_mcp_boundary.py,6762,02cfc42ec65af28fd340d5cdf03260f96a6dec4ccb1c2a58b42e9ddc622c1cdd
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_neighbors.py,1929,53688aab4aa08ee9eabcb85da0a1881483f978011cdb9d19e57a92d076251f03
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_pot_io.py,713,06bb3adc1b840f8588aefc9ae4191763e4c7444c7fed74a34eac9df0a5d6f077
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_print_qlip_snippet.py,936,316423ac1a3569252d44ec06f2293c224c820b137d99bf84378de5ebc8a36e1a
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_property_filter.py,3921,19f1fbeac3e511059f33dde39a8a81b70cdee68c2827117886135b2e62ba282a
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_publish_kinds.py,3899,0375c3dcf28341d29fee8ed232cbbc04b019b95eafe15f024b4a4249b2af8ff1
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_publish_qlip_outputs.py,4046,a30b4337d346bd228ca85e520d537b25c480cf736db1a0bfc698f31e6a29e836
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_qlip_outputs_assets.py,428,318265da22fb1cd626af78c2c3dd481d99ca1ee2ab1ca0f6c8444982b2e8a3c3
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_run_orchestrator_determinism.py,2184,40e6b90787f0708e54e6eb1140e6d6399360dd4a21f93cc8bdfef5f0bc5ee9d5
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_run_orchestrator_publish_packages.py,2437,a2e64ce7b80fa4bcaaec94ab5a0134317619f683a1c32852d4e47af9a0375f42
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_run_orchestrator_smoke.py,2686,dd98f230e936884f85d052b17b8a024f942a4d1b5dacbc25b50640cf0bd7b040
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_scale_spp_root.py,2504,3fa13727bdf04de697d209842c490480e00140e34fd1495b26fe6d720e8c28ed
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_score_atoms_sanity.py,1808,b613936ae42e35372efed5ee11b0176fe1167752a251bcb1f380059b127b29e0
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_score_cli_smoke.py,2493,cf3b7ee9d824b4f4b24ad4aa3a0a1e912c350e83fc7788eb263660b2705e6cce
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_spp_model.py,1349,8ae980e3ca28d794c7005d3c093d6c3c88e27b4f7ec874c662fb0da95be43c5c
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_spp_model_policies.py,2481,21a533788b4f0ad6fde44a45d65b81d511ea50538511c46d3d2655c6ce505676
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_supercell_gr.py,2474,f610001f027ed5c7cd7bc61563703c339a36d17af3ae49c7465a59fa50451e6e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_supercell_support.py,1440,5ede5b92908e324790be5d8f1cee38ddd22c30902c1b3da0cab739c739bd8d2e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_weights.py,1650,9d020212e961f60b0a67d9d56e9ce168e887f22bdf299aea7295896528b6855f
